step_idx,phase,t_step_start_s,t_step_end_s,step_duration_ms,t_dataload_ms,t_forward_ms,samples_per_step,slide_id_in_step,world_size
0,ramp,0.133691,1.475269,1341.577,16.876,1324.608,256,TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C,4
1,ramp,1.488887,2.384846,895.959,1.753,894.145,256,TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C,4
2,ramp,2.396189,3.293682,897.493,1.758,895.676,256,TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C,4
3,ramp,3.305351,4.203389,898.038,1.760,896.221,256,TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C,4
4,ramp,4.217120,5.115920,898.800,1.761,896.983,256,TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C,4
5,ramp,5.127683,6.027261,899.578,1.758,897.762,256,TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C,4
6,ramp,6.039129,6.939318,900.190,1.773,898.347,256,TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C,4
7,ramp,6.950949,7.851861,900.912,1.768,899.083,256,TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C,4
8,ramp,7.865208,8.767299,902.091,1.754,900.277,256,TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C,4
9,ramp,8.779010,9.682658,903.648,1.759,901.828,256,TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C,4
10,steady,9.694566,10.595527,900.961,1.759,899.146,256,TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C,4
11,steady,10.607315,11.507186,899.871,1.757,898.051,256,TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C,4
12,steady,11.518475,12.419482,901.007,1.750,899.199,256,TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C,4
13,steady,12.433198,13.334177,900.979,1.758,899.161,256,TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C,4
14,steady,13.346304,14.248599,902.296,1.763,900.474,256,TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C,4
15,steady,14.260128,15.163849,903.721,1.755,901.912,256,TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C,4
16,steady,15.175362,16.080000,904.638,1.761,902.818,256,TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C,4
17,steady,16.091699,16.997679,905.981,1.751,904.171,256,TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C,4
18,steady,17.009342,17.914728,905.387,1.752,903.570,256,TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C,4
19,steady,17.926422,18.833075,906.653,1.758,904.831,256,TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C,4
20,steady,18.844754,19.751621,906.867,1.759,905.046,256,TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C,4
21,steady,19.763533,20.672115,908.582,1.764,906.755,256,TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C,4
22,steady,20.683732,21.592293,908.561,1.758,906.734,256,TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C,4
23,steady,21.604004,22.513404,909.401,1.768,907.563,256,TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C,4
24,steady,22.524880,23.435338,910.457,1.753,908.647,256,TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C,4
25,steady,23.447289,24.358831,911.542,1.754,909.735,256,TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C,4
26,steady,24.370687,25.284071,913.384,1.758,911.568,256,TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C,4
27,steady,25.295818,26.209002,913.185,1.769,911.354,256,TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C,4
28,steady,26.220567,27.134281,913.714,1.768,911.881,256,TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C,4
29,steady,27.145886,28.060041,914.156,1.766,912.329,256,TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C,4
30,steady,28.071462,28.987398,915.935,1.757,914.120,256,TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C,4
31,steady,28.998902,29.916046,917.144,1.772,915.317,256,TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C,4
32,steady,29.927572,30.845905,918.332,1.749,916.527,256,TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C,4
33,steady,30.857305,31.776465,919.160,1.754,917.347,256,TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C,4
34,steady,31.788587,32.709330,920.744,1.758,918.927,256,TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C,4
35,steady,32.720995,33.639197,918.202,1.762,916.383,256,TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C,4
36,steady,33.646621,34.305101,658.480,1.055,657.374,157,TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C,4
37,steady,34.464109,35.380206,916.097,1.795,914.222,256,TCGA-A2-A0SW-01Z-00-DX1.E1EA0407-B831-4D75-826E-80B82B821797,4
38,steady,35.392611,36.313177,920.566,1.750,918.759,256,TCGA-A2-A0SW-01Z-00-DX1.E1EA0407-B831-4D75-826E-80B82B821797,4
39,steady,36.324684,37.247824,923.139,1.757,921.327,256,TCGA-A2-A0SW-01Z-00-DX1.E1EA0407-B831-4D75-826E-80B82B821797,4
40,steady,37.259472,38.183776,924.304,1.769,922.472,256,TCGA-A2-A0SW-01Z-00-DX1.E1EA0407-B831-4D75-826E-80B82B821797,4
41,steady,38.195600,39.120176,924.577,1.756,922.761,256,TCGA-A2-A0SW-01Z-00-DX1.E1EA0407-B831-4D75-826E-80B82B821797,4
42,steady,39.150880,40.075941,925.061,1.751,923.249,256,TCGA-A2-A0SW-01Z-00-DX1.E1EA0407-B831-4D75-826E-80B82B821797,4
43,steady,40.088004,41.015021,927.017,1.763,925.192,256,TCGA-A2-A0SW-01Z-00-DX1.E1EA0407-B831-4D75-826E-80B82B821797,4
44,steady,41.026691,41.954714,928.023,1.757,926.202,256,TCGA-A2-A0SW-01Z-00-DX1.E1EA0407-B831-4D75-826E-80B82B821797,4
45,steady,41.966269,42.895160,928.891,1.760,927.065,256,TCGA-A2-A0SW-01Z-00-DX1.E1EA0407-B831-4D75-826E-80B82B821797,4
46,steady,42.906704,43.836464,929.760,1.761,927.937,256,TCGA-A2-A0SW-01Z-00-DX1.E1EA0407-B831-4D75-826E-80B82B821797,4
47,steady,43.848022,44.775813,927.791,1.763,925.958,256,TCGA-A2-A0SW-01Z-00-DX1.E1EA0407-B831-4D75-826E-80B82B821797,4
48,steady,44.787351,45.716753,929.402,1.765,927.566,256,TCGA-A2-A0SW-01Z-00-DX1.E1EA0407-B831-4D75-826E-80B82B821797,4
49,steady,45.728495,46.657212,928.717,1.759,926.894,256,TCGA-A2-A0SW-01Z-00-DX1.E1EA0407-B831-4D75-826E-80B82B821797,4
50,steady,46.668899,47.597328,928.429,1.758,926.606,256,TCGA-A2-A0SW-01Z-00-DX1.E1EA0407-B831-4D75-826E-80B82B821797,4
51,steady,47.609257,48.539715,930.458,1.766,928.625,256,TCGA-A2-A0SW-01Z-00-DX1.E1EA0407-B831-4D75-826E-80B82B821797,4
52,steady,48.551089,49.483961,932.872,1.762,931.039,256,TCGA-A2-A0SW-01Z-00-DX1.E1EA0407-B831-4D75-826E-80B82B821797,4
53,steady,49.495423,50.429410,933.987,1.759,932.167,256,TCGA-A2-A0SW-01Z-00-DX1.E1EA0407-B831-4D75-826E-80B82B821797,4
54,steady,50.441304,51.375024,933.720,1.758,931.888,256,TCGA-A2-A0SW-01Z-00-DX1.E1EA0407-B831-4D75-826E-80B82B821797,4
55,steady,51.387344,52.320221,932.877,1.783,931.010,256,TCGA-A2-A0SW-01Z-00-DX1.E1EA0407-B831-4D75-826E-80B82B821797,4
56,steady,52.331986,53.262840,930.855,1.775,928.999,256,TCGA-A2-A0SW-01Z-00-DX1.E1EA0407-B831-4D75-826E-80B82B821797,4
57,steady,53.281898,54.212462,930.564,1.793,928.690,256,TCGA-A2-A0SW-01Z-00-DX1.E1EA0407-B831-4D75-826E-80B82B821797,4
58,steady,54.224438,55.154487,930.049,1.775,928.193,256,TCGA-A2-A0SW-01Z-00-DX1.E1EA0407-B831-4D75-826E-80B82B821797,4
59,steady,55.165986,56.098280,932.294,1.776,930.425,256,TCGA-A2-A0SW-01Z-00-DX1.E1EA0407-B831-4D75-826E-80B82B821797,4
60,steady,56.109959,57.038992,929.033,1.785,927.151,256,TCGA-A2-A0SW-01Z-00-DX1.E1EA0407-B831-4D75-826E-80B82B821797,4
61,steady,57.050618,57.979467,928.849,1.779,926.986,256,TCGA-A2-A0SW-01Z-00-DX1.E1EA0407-B831-4D75-826E-80B82B821797,4
62,steady,57.991193,58.919150,927.957,1.773,926.104,256,TCGA-A2-A0SW-01Z-00-DX1.E1EA0407-B831-4D75-826E-80B82B821797,4
63,steady,58.933315,59.860536,927.221,1.767,925.373,256,TCGA-A2-A0SW-01Z-00-DX1.E1EA0407-B831-4D75-826E-80B82B821797,4
64,steady,59.872399,60.799326,926.927,1.779,925.068,256,TCGA-A2-A0SW-01Z-00-DX1.E1EA0407-B831-4D75-826E-80B82B821797,4
65,steady,60.811277,61.737399,926.122,1.766,924.273,256,TCGA-A2-A0SW-01Z-00-DX1.E1EA0407-B831-4D75-826E-80B82B821797,4
66,steady,61.748941,62.675749,926.808,1.770,924.957,256,TCGA-A2-A0SW-01Z-00-DX1.E1EA0407-B831-4D75-826E-80B82B821797,4
67,steady,62.687237,63.613737,926.500,1.777,924.641,256,TCGA-A2-A0SW-01Z-00-DX1.E1EA0407-B831-4D75-826E-80B82B821797,4
68,steady,63.625784,64.552665,926.881,1.774,925.031,256,TCGA-A2-A0SW-01Z-00-DX1.E1EA0407-B831-4D75-826E-80B82B821797,4
69,steady,64.564592,65.490144,925.552,1.774,923.700,256,TCGA-A2-A0SW-01Z-00-DX1.E1EA0407-B831-4D75-826E-80B82B821797,4
70,steady,65.501734,66.426233,924.499,1.768,922.660,256,TCGA-A2-A0SW-01Z-00-DX1.E1EA0407-B831-4D75-826E-80B82B821797,4
71,steady,66.439596,67.364327,924.730,1.758,922.906,256,TCGA-A2-A0SW-01Z-00-DX1.E1EA0407-B831-4D75-826E-80B82B821797,4
72,steady,67.375860,68.302364,926.504,1.759,924.674,256,TCGA-A2-A0SW-01Z-00-DX1.E1EA0407-B831-4D75-826E-80B82B821797,4
73,steady,68.313913,69.238181,924.269,1.784,922.413,256,TCGA-A2-A0SW-01Z-00-DX1.E1EA0407-B831-4D75-826E-80B82B821797,4
74,steady,69.250073,70.174414,924.341,1.760,922.511,256,TCGA-A2-A0SW-01Z-00-DX1.E1EA0407-B831-4D75-826E-80B82B821797,4
75,steady,70.186151,71.110587,924.436,1.765,922.596,256,TCGA-A2-A0SW-01Z-00-DX1.E1EA0407-B831-4D75-826E-80B82B821797,4
76,steady,71.122080,72.045903,923.823,1.763,921.987,256,TCGA-A2-A0SW-01Z-00-DX1.E1EA0407-B831-4D75-826E-80B82B821797,4
77,steady,72.057529,72.982109,924.580,1.770,922.734,256,TCGA-A2-A0SW-01Z-00-DX1.E1EA0407-B831-4D75-826E-80B82B821797,4
78,steady,72.993548,73.917537,923.989,1.769,922.145,256,TCGA-A2-A0SW-01Z-00-DX1.E1EA0407-B831-4D75-826E-80B82B821797,4
79,steady,73.931583,74.854822,923.239,1.770,921.391,256,TCGA-A2-A0SW-01Z-00-DX1.E1EA0407-B831-4D75-826E-80B82B821797,4
80,steady,74.862270,75.511006,648.735,1.052,647.611,153,TCGA-A2-A0SW-01Z-00-DX1.E1EA0407-B831-4D75-826E-80B82B821797,4
81,steady,75.636973,76.557959,920.987,1.790,919.117,256,TCGA-A7-A426-01Z-00-DX1.3058E873-9442-4872-80DA-E8A5B35054D2,4
82,steady,76.569225,77.492325,923.101,1.775,921.257,256,TCGA-A7-A426-01Z-00-DX1.3058E873-9442-4872-80DA-E8A5B35054D2,4
83,steady,77.503975,78.427422,923.447,1.766,921.613,256,TCGA-A7-A426-01Z-00-DX1.3058E873-9442-4872-80DA-E8A5B35054D2,4
84,steady,78.445791,79.369208,923.417,1.769,921.584,256,TCGA-A7-A426-01Z-00-DX1.3058E873-9442-4872-80DA-E8A5B35054D2,4
85,steady,79.380992,80.305052,924.060,1.762,922.229,256,TCGA-A7-A426-01Z-00-DX1.3058E873-9442-4872-80DA-E8A5B35054D2,4
86,steady,80.316755,81.240853,924.098,1.769,922.246,256,TCGA-A7-A426-01Z-00-DX1.3058E873-9442-4872-80DA-E8A5B35054D2,4
87,steady,81.253804,82.178611,924.807,1.784,922.922,256,TCGA-A7-A426-01Z-00-DX1.3058E873-9442-4872-80DA-E8A5B35054D2,4
88,steady,82.190375,83.114582,924.207,1.780,922.326,256,TCGA-A7-A426-01Z-00-DX1.3058E873-9442-4872-80DA-E8A5B35054D2,4
89,steady,83.126352,84.050386,924.035,1.785,922.146,256,TCGA-A7-A426-01Z-00-DX1.3058E873-9442-4872-80DA-E8A5B35054D2,4
90,steady,84.062507,84.986125,923.618,1.790,921.731,256,TCGA-A7-A426-01Z-00-DX1.3058E873-9442-4872-80DA-E8A5B35054D2,4
91,steady,84.997836,85.921776,923.940,1.784,922.055,256,TCGA-A7-A426-01Z-00-DX1.3058E873-9442-4872-80DA-E8A5B35054D2,4
92,steady,85.933526,86.857750,924.224,1.781,922.346,256,TCGA-A7-A426-01Z-00-DX1.3058E873-9442-4872-80DA-E8A5B35054D2,4
93,steady,86.869451,87.794487,925.036,1.782,923.161,256,TCGA-A7-A426-01Z-00-DX1.3058E873-9442-4872-80DA-E8A5B35054D2,4
94,steady,87.806266,88.729901,923.635,1.778,921.765,256,TCGA-A7-A426-01Z-00-DX1.3058E873-9442-4872-80DA-E8A5B35054D2,4
95,steady,88.741510,89.665383,923.872,1.783,921.991,256,TCGA-A7-A426-01Z-00-DX1.3058E873-9442-4872-80DA-E8A5B35054D2,4
96,steady,89.677047,90.601992,924.945,1.779,923.065,256,TCGA-A7-A426-01Z-00-DX1.3058E873-9442-4872-80DA-E8A5B35054D2,4
97,steady,90.615541,91.540845,925.304,1.782,923.426,256,TCGA-A7-A426-01Z-00-DX1.3058E873-9442-4872-80DA-E8A5B35054D2,4
98,steady,91.552422,92.478526,926.104,1.783,924.225,256,TCGA-A7-A426-01Z-00-DX1.3058E873-9442-4872-80DA-E8A5B35054D2,4
99,steady,92.490041,93.415247,925.206,1.788,923.320,256,TCGA-A7-A426-01Z-00-DX1.3058E873-9442-4872-80DA-E8A5B35054D2,4
100,steady,93.426936,94.351483,924.547,1.783,922.667,256,TCGA-A7-A426-01Z-00-DX1.3058E873-9442-4872-80DA-E8A5B35054D2,4
101,steady,94.364619,95.289034,924.414,1.780,922.537,256,TCGA-A7-A426-01Z-00-DX1.3058E873-9442-4872-80DA-E8A5B35054D2,4
102,steady,95.300665,96.225641,924.975,1.794,923.075,256,TCGA-A7-A426-01Z-00-DX1.3058E873-9442-4872-80DA-E8A5B35054D2,4
103,steady,96.237968,97.164439,926.471,1.787,924.572,256,TCGA-A7-A426-01Z-00-DX1.3058E873-9442-4872-80DA-E8A5B35054D2,4
104,steady,97.171960,97.840595,668.635,1.075,667.479,156,TCGA-A7-A426-01Z-00-DX1.3058E873-9442-4872-80DA-E8A5B35054D2,4
105,steady,97.915893,98.834698,918.806,1.792,916.915,256,TCGA-A8-A07B-01Z-00-DX1.950B5E4E-C5F0-4445-9F88-E8C32CDFE6DA,4
106,steady,98.846764,99.767649,920.885,1.770,919.018,256,TCGA-A8-A07B-01Z-00-DX1.950B5E4E-C5F0-4445-9F88-E8C32CDFE6DA,4
107,steady,99.779227,100.699195,919.969,1.778,918.092,256,TCGA-A8-A07B-01Z-00-DX1.950B5E4E-C5F0-4445-9F88-E8C32CDFE6DA,4
108,steady,100.710438,101.631846,921.408,1.774,919.536,256,TCGA-A8-A07B-01Z-00-DX1.950B5E4E-C5F0-4445-9F88-E8C32CDFE6DA,4
109,steady,101.643314,102.564626,921.311,1.770,919.447,256,TCGA-A8-A07B-01Z-00-DX1.950B5E4E-C5F0-4445-9F88-E8C32CDFE6DA,4
110,steady,102.576045,103.499162,923.117,1.778,921.244,256,TCGA-A8-A07B-01Z-00-DX1.950B5E4E-C5F0-4445-9F88-E8C32CDFE6DA,4
111,steady,103.510684,104.434120,923.436,1.780,921.558,256,TCGA-A8-A07B-01Z-00-DX1.950B5E4E-C5F0-4445-9F88-E8C32CDFE6DA,4
112,steady,104.445564,105.369224,923.660,1.779,921.783,256,TCGA-A8-A07B-01Z-00-DX1.950B5E4E-C5F0-4445-9F88-E8C32CDFE6DA,4
113,steady,105.376679,105.932394,555.715,1.090,554.538,157,TCGA-A8-A07B-01Z-00-DX1.950B5E4E-C5F0-4445-9F88-E8C32CDFE6DA,4
114,steady,105.974468,106.895835,921.366,1.792,919.480,256,TCGA-A8-A0A2-01Z-00-DX1.47BCDF13-1065-466A-B7CB-F91F5EAD7D91,4
115,steady,106.907375,107.831881,924.506,1.780,922.630,256,TCGA-A8-A0A2-01Z-00-DX1.47BCDF13-1065-466A-B7CB-F91F5EAD7D91,4
116,steady,107.843715,108.767816,924.102,1.770,922.234,256,TCGA-A8-A0A2-01Z-00-DX1.47BCDF13-1065-466A-B7CB-F91F5EAD7D91,4
117,steady,108.779450,109.704632,925.182,1.793,923.293,256,TCGA-A8-A0A2-01Z-00-DX1.47BCDF13-1065-466A-B7CB-F91F5EAD7D91,4
118,steady,109.716518,110.641514,924.996,1.779,923.121,256,TCGA-A8-A0A2-01Z-00-DX1.47BCDF13-1065-466A-B7CB-F91F5EAD7D91,4
119,steady,110.653104,111.579452,926.349,1.783,924.468,256,TCGA-A8-A0A2-01Z-00-DX1.47BCDF13-1065-466A-B7CB-F91F5EAD7D91,4
120,steady,111.591632,112.517242,925.610,1.775,923.738,256,TCGA-A8-A0A2-01Z-00-DX1.47BCDF13-1065-466A-B7CB-F91F5EAD7D91,4
121,steady,112.528166,113.514579,986.413,1.618,984.697,232,TCGA-A8-A0A2-01Z-00-DX1.47BCDF13-1065-466A-B7CB-F91F5EAD7D91,4
122,steady,113.660589,114.587285,926.696,1.794,924.804,256,TCGA-AQ-A54O-01Z-00-DX1.85AB0AC4-47BB-4CD8-B7FB-5928108864AC,4
123,steady,114.598629,115.529406,930.776,1.772,928.906,256,TCGA-AQ-A54O-01Z-00-DX1.85AB0AC4-47BB-4CD8-B7FB-5928108864AC,4
124,steady,115.540969,116.473684,932.715,1.789,930.826,256,TCGA-AQ-A54O-01Z-00-DX1.85AB0AC4-47BB-4CD8-B7FB-5928108864AC,4
125,steady,116.489004,117.419339,930.335,1.773,928.462,256,TCGA-AQ-A54O-01Z-00-DX1.85AB0AC4-47BB-4CD8-B7FB-5928108864AC,4
126,steady,117.430883,118.363046,932.162,1.782,930.285,256,TCGA-AQ-A54O-01Z-00-DX1.85AB0AC4-47BB-4CD8-B7FB-5928108864AC,4
127,steady,118.374732,119.307541,932.809,1.767,930.946,256,TCGA-AQ-A54O-01Z-00-DX1.85AB0AC4-47BB-4CD8-B7FB-5928108864AC,4
128,steady,119.318601,120.252279,933.677,1.776,931.805,256,TCGA-AQ-A54O-01Z-00-DX1.85AB0AC4-47BB-4CD8-B7FB-5928108864AC,4
129,steady,120.264062,121.198552,934.491,1.769,932.625,256,TCGA-AQ-A54O-01Z-00-DX1.85AB0AC4-47BB-4CD8-B7FB-5928108864AC,4
130,steady,121.209507,122.145032,935.525,1.779,933.650,256,TCGA-AQ-A54O-01Z-00-DX1.85AB0AC4-47BB-4CD8-B7FB-5928108864AC,4
131,steady,122.156875,123.092584,935.709,1.765,933.851,256,TCGA-AQ-A54O-01Z-00-DX1.85AB0AC4-47BB-4CD8-B7FB-5928108864AC,4
132,steady,123.104452,124.039879,935.426,1.779,933.555,256,TCGA-AQ-A54O-01Z-00-DX1.85AB0AC4-47BB-4CD8-B7FB-5928108864AC,4
133,steady,124.051408,124.987331,935.923,1.768,934.060,256,TCGA-AQ-A54O-01Z-00-DX1.85AB0AC4-47BB-4CD8-B7FB-5928108864AC,4
134,steady,124.998792,125.936886,938.094,1.781,936.219,256,TCGA-AQ-A54O-01Z-00-DX1.85AB0AC4-47BB-4CD8-B7FB-5928108864AC,4
135,steady,125.948857,126.886000,937.143,1.782,935.261,256,TCGA-AQ-A54O-01Z-00-DX1.85AB0AC4-47BB-4CD8-B7FB-5928108864AC,4
136,steady,126.897636,127.835892,938.257,1.797,936.335,256,TCGA-AQ-A54O-01Z-00-DX1.85AB0AC4-47BB-4CD8-B7FB-5928108864AC,4
137,steady,127.848134,128.786025,937.891,1.772,936.025,256,TCGA-AQ-A54O-01Z-00-DX1.85AB0AC4-47BB-4CD8-B7FB-5928108864AC,4
138,steady,128.797815,129.736098,938.282,1.786,936.405,256,TCGA-AQ-A54O-01Z-00-DX1.85AB0AC4-47BB-4CD8-B7FB-5928108864AC,4
139,steady,129.747948,130.685936,937.988,1.780,936.112,256,TCGA-AQ-A54O-01Z-00-DX1.85AB0AC4-47BB-4CD8-B7FB-5928108864AC,4
140,steady,130.698092,131.635820,937.728,1.782,935.854,256,TCGA-AQ-A54O-01Z-00-DX1.85AB0AC4-47BB-4CD8-B7FB-5928108864AC,4
141,steady,131.647067,132.584217,937.150,1.776,935.286,256,TCGA-AQ-A54O-01Z-00-DX1.85AB0AC4-47BB-4CD8-B7FB-5928108864AC,4
142,steady,132.595945,133.533385,937.440,1.769,935.579,256,TCGA-AQ-A54O-01Z-00-DX1.85AB0AC4-47BB-4CD8-B7FB-5928108864AC,4
143,steady,133.545416,134.481280,935.865,1.772,934.000,256,TCGA-AQ-A54O-01Z-00-DX1.85AB0AC4-47BB-4CD8-B7FB-5928108864AC,4
144,steady,134.492144,135.427513,935.369,1.779,933.492,256,TCGA-AQ-A54O-01Z-00-DX1.85AB0AC4-47BB-4CD8-B7FB-5928108864AC,4
145,steady,135.439731,136.374333,934.603,1.776,932.728,256,TCGA-AQ-A54O-01Z-00-DX1.85AB0AC4-47BB-4CD8-B7FB-5928108864AC,4
146,steady,136.385930,137.320261,934.331,1.786,932.451,256,TCGA-AQ-A54O-01Z-00-DX1.85AB0AC4-47BB-4CD8-B7FB-5928108864AC,4
147,steady,137.332039,138.264598,932.559,1.773,930.693,256,TCGA-AQ-A54O-01Z-00-DX1.85AB0AC4-47BB-4CD8-B7FB-5928108864AC,4
148,steady,138.276473,139.208850,932.377,1.774,930.516,256,TCGA-AQ-A54O-01Z-00-DX1.85AB0AC4-47BB-4CD8-B7FB-5928108864AC,4
149,steady,139.219771,140.150428,930.656,1.768,928.802,256,TCGA-AQ-A54O-01Z-00-DX1.85AB0AC4-47BB-4CD8-B7FB-5928108864AC,4
150,steady,140.162704,141.093092,930.388,1.776,928.519,256,TCGA-AQ-A54O-01Z-00-DX1.85AB0AC4-47BB-4CD8-B7FB-5928108864AC,4
151,steady,141.106141,142.035862,929.721,1.778,927.846,256,TCGA-AQ-A54O-01Z-00-DX1.85AB0AC4-47BB-4CD8-B7FB-5928108864AC,4
152,steady,142.046681,142.975589,928.908,1.778,927.032,256,TCGA-AQ-A54O-01Z-00-DX1.85AB0AC4-47BB-4CD8-B7FB-5928108864AC,4
153,steady,142.987386,143.915802,928.416,1.777,926.537,256,TCGA-AQ-A54O-01Z-00-DX1.85AB0AC4-47BB-4CD8-B7FB-5928108864AC,4
154,steady,143.928435,144.857339,928.904,1.787,927.025,256,TCGA-AQ-A54O-01Z-00-DX1.85AB0AC4-47BB-4CD8-B7FB-5928108864AC,4
155,steady,144.868506,145.795539,927.033,1.774,925.166,256,TCGA-AQ-A54O-01Z-00-DX1.85AB0AC4-47BB-4CD8-B7FB-5928108864AC,4
156,steady,145.807116,146.733914,926.799,1.784,924.922,256,TCGA-AQ-A54O-01Z-00-DX1.85AB0AC4-47BB-4CD8-B7FB-5928108864AC,4
157,steady,146.745586,147.670441,924.855,1.768,922.998,256,TCGA-AQ-A54O-01Z-00-DX1.85AB0AC4-47BB-4CD8-B7FB-5928108864AC,4
158,steady,147.682042,148.609470,927.428,1.775,925.562,256,TCGA-AQ-A54O-01Z-00-DX1.85AB0AC4-47BB-4CD8-B7FB-5928108864AC,4
159,steady,148.621395,149.546048,924.653,1.768,922.800,256,TCGA-AQ-A54O-01Z-00-DX1.85AB0AC4-47BB-4CD8-B7FB-5928108864AC,4
160,steady,149.557626,150.482640,925.014,1.794,923.092,256,TCGA-AQ-A54O-01Z-00-DX1.85AB0AC4-47BB-4CD8-B7FB-5928108864AC,4
161,steady,150.493509,151.418111,924.603,1.781,922.721,256,TCGA-AQ-A54O-01Z-00-DX1.85AB0AC4-47BB-4CD8-B7FB-5928108864AC,4
162,steady,151.430332,152.354575,924.244,1.780,922.366,256,TCGA-AQ-A54O-01Z-00-DX1.85AB0AC4-47BB-4CD8-B7FB-5928108864AC,4
163,steady,152.366449,153.288648,922.199,1.782,920.327,256,TCGA-AQ-A54O-01Z-00-DX1.85AB0AC4-47BB-4CD8-B7FB-5928108864AC,4
164,steady,153.301070,154.224033,922.963,1.778,921.095,256,TCGA-AQ-A54O-01Z-00-DX1.85AB0AC4-47BB-4CD8-B7FB-5928108864AC,4
165,steady,154.236079,155.158994,922.915,1.774,921.054,256,TCGA-AQ-A54O-01Z-00-DX1.85AB0AC4-47BB-4CD8-B7FB-5928108864AC,4
166,steady,155.171125,156.094265,923.140,1.775,921.272,256,TCGA-AQ-A54O-01Z-00-DX1.85AB0AC4-47BB-4CD8-B7FB-5928108864AC,4
167,steady,156.105163,157.026861,921.698,1.779,919.823,256,TCGA-AQ-A54O-01Z-00-DX1.85AB0AC4-47BB-4CD8-B7FB-5928108864AC,4
168,steady,157.039416,157.962079,922.664,1.781,920.790,256,TCGA-AQ-A54O-01Z-00-DX1.85AB0AC4-47BB-4CD8-B7FB-5928108864AC,4
169,steady,157.974145,158.894839,920.694,1.775,918.830,256,TCGA-AQ-A54O-01Z-00-DX1.85AB0AC4-47BB-4CD8-B7FB-5928108864AC,4
170,steady,158.906217,159.828987,922.770,1.779,920.904,256,TCGA-AQ-A54O-01Z-00-DX1.85AB0AC4-47BB-4CD8-B7FB-5928108864AC,4
